Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 12:00:40",2,,6.8,13.6,7.06,14.12,0.52,
Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 12:00:25",3,,6.8,20.4,7.06,21.18,0.78,
Open Positions,Data,Lot,Stocks,USD,KEG,"2018-11-26, 11:59:59",10,,6.9,69,7.06,70.6,1.6,
Open Positions,Data,Summary,Stocks,USD,MBIO,-,259,1,3.855,998.445,3.74,968.66,-29.785,
Open Positions,Data,Lot,Stocks,USD,MBIO,"2018-11-26, 12:02:03",259,,3.855,998.445,3.74,968.66,-29.785,
Open Positions,Data,Summary,Stocks,USD,MGEN,-,294,1,3.405,1001.07,3.37,990.78,-10.29,
Open Positions,Data,Lot,Stocks,USD,MGEN,"2018-11-26, 10:20:57",70,,3.4,238,3.37,235.9,-2.1,
Open Positions,Data,Lot,Stocks,USD,MGEN,"2018-11-26, 10:20:57",102,,3.404607843,347.27,3.37,343.74,-3.53,
Open Positions,Data,Lot,Stocks,USD,MGEN,"2018-11-26, 10:19:57",22,,3.4,74.8,3.37,74.14,-0.66,
Open Positions,Data,Lot,Stocks,USD,MGEN,"2018-11-26, 10:18:48",100,,3.41,341,3.37,337,-4,
Open Positions,Data,Summary,Stocks,USD,MGTA,-,115,1,8.658695652,995.75,8.84,1016.6,20.85,
Open Positions,Data,Lot,Stocks,USD,MGTA,"2018-11-26, 09:52:05",115,,8.658695652,995.75,8.84,1016.6,20.85,
Open Positions,Data,Summary,Stocks,USD,RKDA,-,46,1,4.22173913,194.2,4.17,191.82,-2.38,
Open Positions,Data,Lot,Stocks,USD,RKDA,"2018-11-23, 12:55:35",46,,4.22173913,194.2,4.17,191.82,-2.38,
Open Positions,Data,Summary,Stocks,USD,RMED,-,124,1,8.058064516,999.2,8.1,1004.4,5.2,
Open Positions,Data,Lot,Stocks,USD,RMED,"2018-11-26, 10:32:21",124,,8.058064516,999.2,8.1,1004.4,5.2,
Open Positions,Data,Summary,Stocks,USD,ROSE,-,246,1,4.055,997.53,4.05,996.3,-1.23,
Open Positions,Data,Lot,Stocks,USD,ROSE,"2018-11-23, 12:54:58",246,,4.055,997.53,4.05,996.3,-1.23,
Open Positions,Data,Summary,Stocks,USD,SBT,-,47,1,8.921276596,419.3,8.7,408.9,-10.4,
Open Positions,Data,Lot,Stocks,USD,SBT,"2018-11-26, 09:49:38",47,,8.921276596,419.3,8.7,408.9,-10.4,
Open Positions,Data,Summary,Stocks,USD,SIC,-,134,1,8.6,1152.4,8.69,1164.46,12.06,SY
Open Positions,Data,Lot,Stocks,USD,SIC,"2018-11-13, 12:46:32",134,,8.6,1152.4,8.69,1164.46,12.06,
Open Positions,Data,Summary,Stocks,USD,STRO,-,93,1,10.710752688,996.1,10.85,1009.05,12.95,
Open Positions,Data,Lot,Stocks,USD,STRO,"2018-11-26, 10:04:03",2,,11.2,22.4,10.85,21.7,-0.7,
Open Positions,Data,Lot,Stocks,USD,STRO,"2018-11-26, 10:04:03",91,,10.7,973.7,10.85,987.35,13.65,
Open Positions,Data,Summary,Stocks,USD,UROV,-,121,1,8.258264463,999.25,8.3,1004.3,5.05,
Open Positions,Data,Lot,Stocks,USD,UROV,"2018-11-26, 10:10:09",50,,8.25,412.5,8.3,415,2.5,
Open Positions,Data,Lot,Stocks,USD,UROV,"2018-11-26, 10:03:38",71,,8.264084507,586.75,8.3,589.3,2.55,
Open Positions,Total,,Stocks,USD,,,,,,19606.017379,,18824.85,-781.167379,
Trade Summary by Asset Class,Header,Asset Category,Total Number of Trades,Total Shares (or Contracts) Bought,Total Shares (or Contracts) Sold
Trade Summary by Asset Class,Data,Stocks,90,"6,206","-2,529"
Trade Summary by Asset Class,Data,Forex,1,-,-
Trade Summary by Symbol,Header,Asset Category,Currency,Symbol,Buys Quantity,Buys Avg. Price,Buys Proceeds,Sells Quantity,Sells Avg. Price,Sells Proceeds
Trade Summary by Symbol,Data,Stocks,USD,ACU,37,17.72,-655.64,-37,17.95,664.15
Trade Summary by Symbol,Data,Stocks,USD,AEYE,176,5.65,-994.4,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,ALNA,323,8.224767802,-2656.6,-323,8.497801858,2744.79
Trade Summary by Symbol,Data,Stocks,USD,ALPN,133,4.95112782,-658.5,-133,5.011278195,666.5
Trade Summary by Symbol,Data,Stocks,USD,ASPN,30,3.3,-99,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,ATOM,7,3.75,-26.25,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,BSGM,253,3.95,-999.35,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,BTAI,194,5.142268041,-997.6,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,BXG,240,12.425,-2982,-240,11.98193125,2875.6635
Trade Summary by Symbol,Data,Stocks,USD,CERC,277,3.6,-997.2,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,CRVS,158,6.3,-995.4,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,CUE,440,6.597840909,-2903.05,-273,7.76,2118.48
Trade Summary by Symbol,Data,Stocks,USD,ETTX,152,6.55,-995.6,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,FTNW,396,7.568181818,-2997,-216,6.82,1473.12
Trade Summary by Symbol,Data,Stocks,USD,ICD,312,3.2,-998.4,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,IMH,235,4.25,-998.75,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,KEG,57,6.8,-387.6,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,KNSA,110,18.05,-1985.5,-110,18.25,2007.5
Trade Summary by Symbol,Data,Stocks,USD,LAZY,200,5.45,-1090,-200,4.89,978
Trade Summary by Symbol,Data,Stocks,USD,LEVB,263,3.7954,-998.1902,-263,3.85,1012.55
Trade Summary by Symbol,Data,Stocks,USD,LQDA,103,19.35,-1993.05,-103,21.760666019,2241.3486
Trade Summary by Symbol,Data,Stocks,USD,MBIO,259,3.85,-997.15,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,MGEN,294,3.4,-999.6,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,MGTA,379,7.883773087,-2987.95,-264,7.65,2019.6
Trade Summary by Symbol,Data,Stocks,USD,MOTS,100,3.15,-315,-100,3.2,320
Trade Summary by Symbol,Data,Stocks,USD,RKDA,46,4.2,-193.2,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,RMED,124,8.05,-998.2,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,ROSE,246,4.05,-996.3,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,SBT,47,8.9,-418.3,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,SIC,232,8.595,-1994.04,-98,8.7,852.6
Trade Summary by Symbol,Data,Stocks,USD,STRO,93,10.7,-995.1,0,0,0
Trade Summary by Symbol,Data,Stocks,USD,SVVC,79,12.6,-995.4,-79,12.86,1015.94
Trade Summary by Symbol,Data,Stocks,USD,TBIO,90,6.25,-562.5,-90,6.6,594
Trade Summary by Symbol,Data,Stocks,USD,UROV,121,8.25,-998.25,0,0,0
Trade Summary by Symbol,Data,Total,,,,,-40860.0702,,,21584.2421
Trade Summary by Symbol,Data,Forex,SGD,USD.SGD,64314,1.33295,-85727.3463,0,0,0
Trade Summary by Symbol,Data,Total,,,,,-85727.3463,,,0
Trade Summary by Symbol,Data,Total in USD,,,,,-64405.240728264,,,0
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,ACU,"2018-11-02, 13:48:55",-,37,17.72,17.87,-655.64,-1,656.64,0,5.55,O
Trades,Data,Trade,Stocks,USD,ACU,"2018-11-02, 13:48:55",DRCTEDGE,37,17.72,17.87,-655.64,-1,656.64,0,5.55,O
Trades,SubTotal,,Stocks,USD,ACU (Bought),,,37,17.72,,-655.64,-1,656.64,0,5.55,
Trades,Data,Order,Stocks,USD,ACU,"2018-11-06, 14:57:08",-,-37,17.95,18.0288,664.15,-1.01303695,-656.64,6.496963,-2.9156,C;P
Trades,Data,Trade,Stocks,USD,ACU,"2018-11-06, 14:57:08",AMEX,-1,17.95,18.0288,17.95,-1.00035235,-17.747027,-0.797379,-0.0788,C;P
Trades,Data,ClosedLot,Stocks,USD,ACU,2018-11-02,,1,17.747027,,,,17.747027,-0.797379,,ST
Trades,Data,Trade,Stocks,USD,ACU,"2018-11-06, 15:33:21",AMEX,-36,17.95,18.0288,646.2,-0.0126846,-638.892973,7.294342,-2.8368,C;P
Trades,Data,ClosedLot,Stocks,USD,ACU,2018-11-02,,36,17.747027028,,,,638.892973,7.294342,,ST
Trades,SubTotal,,Stocks,USD,ACU (Sold),,,-37,17.95,,664.15,-1.01303695,-656.64,6.496963,-2.9156,
Trades,SubTotal,,Stocks,USD,ACU,,,0,,,8.51,-2.01303695,0,6.496963,2.6344,
Trades,Data,Order,Stocks,USD,AEYE,"2018-11-23, 12:36:43",-,176,5.65,5.9727,-994.4,-1,995.4,0,56.7952,O
Trades,Data,Trade,Stocks,USD,AEYE,"2018-11-23, 12:36:43",ARCA,176,5.65,5.9727,-994.4,-1,995.4,0,56.7952,O
Trades,SubTotal,,Stocks,USD,AEYE (Bought),,,176,5.65,,-994.4,-1,995.4,0,56.7952,
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-02, 15:54:43",-,80,8.3,8.28,-664,-1,665,0,-1.6,O
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-02, 15:54:43",ISLAND,80,8.3,8.28,-664,-1,665,0,-1.6,O
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-13, 10:53:21",-,243,8.2,8.36,-1992.6,-1.215,1993.815,0,38.88,O
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-13, 10:53:21",ISLAND,243,8.2,8.36,-1992.6,-1.215,1993.815,0,38.88,O
Trades,SubTotal,,Stocks,USD,ALNA (Bought),,,323,8.224767802,,-2656.6,-2.215,2658.815,0,37.28,
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-08, 13:57:49",-,-80,8.4,8.61,672,-1.018256,-665,5.981744,-16.8,C
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-08, 13:57:49",ISLAND,-80,8.4,8.61,672,-1.018256,-665,5.981744,-16.8,C
Trades,Data,ClosedLot,Stocks,USD,ALNA,2018-11-02,,80,8.3125,,,,665,5.981744,,ST
Trades,Data,Order,Stocks,USD,ALNA,"2018-11-19, 10:36:17",-,-243,8.53,8.17,2072.79,-1.27086327,-1993.815,77.704137,87.48,C;P
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-19, 10:36:17",ISLAND,-100,8.53,8.17,853,-1.022989,-820.5,31.477011,36,C;P
Trades,Data,ClosedLot,Stocks,USD,ALNA,2018-11-13,,100,8.205,,,,820.5,31.477011,,ST
Trades,Data,Trade,Stocks,USD,ALNA,"2018-11-19, 10:36:17",ISLAND,-143,8.53,8.17,1219.79,-0.24787427,-1173.315,46.227126,51.48,C;P
Trades,Data,ClosedLot,Stocks,USD,ALNA,2018-11-13,,143,8.205,,,,1173.315,46.227126,,ST
Trades,SubTotal,,Stocks,USD,ALNA (Sold),,,-323,8.497801858,,2744.79,-2.28911927,-2658.815,83.685881,70.68,
Trades,SubTotal,,Stocks,USD,ALNA,,,0,,,88.19,-4.50411927,-0,83.685881,107.96,
Trades,Data,Order,Stocks,USD,ALPN,"2018-11-02, 15:55:47",-,133,4.95112782,4.77,-658.5,-1,659.5,0,-24.09,O;P
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-02, 15:55:47",ISLAND,50,4.87,4.77,-243.5,-1,244.5,0,-5,O;P
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-02, 15:56:06",ISLAND,83,5,4.77,-415,0,415,0,-19.09,O;P
Trades,SubTotal,,Stocks,USD,ALPN (Bought),,,133,4.95112782,,-658.5,-1,659.5,0,-24.09,
Trades,Data,Order,Stocks,USD,ALPN,"2018-11-12, 13:56:17",-,-100,5,5.18,500,-1.0184,-494.5,4.4816,-18,C
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-12, 13:56:17",ISLAND,-100,5,5.18,500,-1.0184,-494.5,4.4816,-18,C
Trades,Data,ClosedLot,Stocks,USD,ALPN,2018-11-02,,100,4.945,,,,494.5,4.4816,,ST
Trades,Data,Order,Stocks,USD,ALPN,"2018-11-13, 10:09:43",-,-33,5.045454545,5.14,166.5,-1.0060915,-165,0.493908,-3.12,C;P
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-13, 10:09:43",ISLAND,-10,5.15,5.14,51.5,-1.0018595,-50,0.49814,0.1,C;P
Trades,Data,ClosedLot,Stocks,USD,ALPN,2018-11-02,,10,5,,,,50,0.49814,,ST
Trades,Data,Trade,Stocks,USD,ALPN,"2018-11-13, 10:21:36",ISLAND,-23,5,5.14,115,-0.004232,-115,-0.004232,-3.22,C;P
Trades,Data,ClosedLot,Stocks,USD,ALPN,2018-11-02,,23,5,,,,115,-0.004232,,ST
Trades,SubTotal,,Stocks,USD,ALPN (Sold),,,-133,5.011278195,,666.5,-2.0244915,-659.5,4.975508,-21.12,
Trades,SubTotal,,Stocks,USD,ALPN,,,0,,,8,-3.0244915,0,4.975508,-45.21,
Trades,Data,Order,Stocks,USD,ASPN,"2018-11-26, 10:46:39",-,30,3.3,3.2,-99,-1,100,0,-3,O
Trades,Data,Trade,Stocks,USD,ASPN,"2018-11-26, 10:46:39",ISLAND,30,3.3,3.2,-99,-1,100,0,-3,O
Trades,SubTotal,,Stocks,USD,ASPN (Bought),,,30,3.3,,-99,-1,100,0,-3,
Trades,Data,Order,Stocks,USD,ATOM,"2018-11-26, 12:10:04",-,7,3.75,3.71,-26.25,-1,27.25,0,-0.28,O
Trades,Data,Trade,Stocks,USD,ATOM,"2018-11-26, 12:10:04",ISLAND,7,3.75,3.71,-26.25,-1,27.25,0,-0.28,O
Trades,SubTotal,,Stocks,USD,ATOM (Bought),,,7,3.75,,-26.25,-1,27.25,0,-0.28,
Trades,Data,Order,Stocks,USD,BSGM,"2018-11-26, 11:44:30",-,253,3.95,3.83,-999.35,-1.265,1000.615,0,-30.36,O
Trades,Data,Trade,Stocks,USD,BSGM,"2018-11-26, 11:44:30",ISLAND,253,3.95,3.83,-999.35,-1.265,1000.615,0,-30.36,O
Trades,SubTotal,,Stocks,USD,BSGM (Bought),,,253,3.95,,-999.35,-1.265,1000.615,0,-30.36,
Trades,Data,Order,Stocks,USD,BTAI,"2018-11-23, 11:53:21",-,194,5.142268041,5.02,-997.6,-1,998.6,0,-23.72,O;P
Trades,Data,Trade,Stocks,USD,BTAI,"2018-11-23, 11:53:21",IEX,100,5.135,5.02,-513.5,-1,514.5,0,-11.5,O;P
Trades,Data,Trade,Stocks,USD,BTAI,"2018-11-23, 11:53:57",ISLAND,94,5.15,5.02,-484.1,0,484.1,0,-12.22,O;P
Trades,SubTotal,,Stocks,USD,BTAI (Bought),,,194,5.142268041,,-997.6,-1,998.6,0,-23.72,
Trades,Data,Order,Stocks,USD,BXG,"2018-11-06, 11:37:04",-,155,12.85,11.84,-1991.75,-1,1992.75,0,-156.55,O;P
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-06, 11:37:04",NYSE,55,12.85,11.84,-706.75,-1,707.75,0,-55.55,O;P
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-06, 11:37:04",NYSE,100,12.85,11.84,-1285,0,1285,0,-101,O;P
Trades,Data,Order,Stocks,USD,BXG,"2018-11-19, 11:03:25",-,85,11.65,11.41,-990.25,-1,991.25,65.877353,-20.4,O
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-19, 11:03:25",NYSE,85,11.65,11.41,-990.25,-1,991.25,65.877353,-20.4,O
Trades,Data,WashSale,Stocks,USD,BXG,2018-11-19,,85,,,,,,65.877353,,ST
Trades,SubTotal,,Stocks,USD,BXG (Bought),,,240,12.425,,-2982,-2,2984,65.877353,-176.95,
Trades,Data,Order,Stocks,USD,BXG,"2018-11-14, 10:08:11",-,-155,12.0817,11.88,1872.6635,-1.042789625,-1992.75,-121.12929,31.2635,C
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-14, 10:08:11",IBKRATS,-155,12.0817,11.88,1872.6635,-1.042789625,-1992.75,-121.12929,31.2635,C
Trades,Data,ClosedLot,Stocks,USD,BXG,2018-11-06,,155,12.856451613,,,,1992.75,-121.12929,,ST
Trades,Data,Order,Stocks,USD,BXG,"2018-11-23, 09:33:27",-,-85,11.8,11.8,1003,-1.023154,-1057.127353,-55.150507,0,C
Trades,Data,Trade,Stocks,USD,BXG,"2018-11-23, 09:33:27",NYSE,-85,11.8,11.8,1003,-1.023154,-1057.127353,-55.150507,-0,C
Trades,Data,ClosedLot,Stocks,USD,BXG,2018-11-19,,85,12.436792388,,,,1057.127353,-55.150507,,ST
Trades,SubTotal,,Stocks,USD,BXG (Sold),,,-240,11.98193125,,2875.6635,-2.065943625,-3049.877353,-176.279797,31.2635,
Trades,SubTotal,,Stocks,USD,BXG,,,0,,,-106.3365,-4.065943625,-65.877353,-110.402444,-145.6865,
Trades,Data,Order,Stocks,USD,CERC,"2018-11-23, 12:52:09",-,277,3.6,3.52,-997.2,-1.385,998.585,0,-22.16,O;P
Trades,Data,Trade,Stocks,USD,CERC,"2018-11-23, 12:52:09",ISLAND,100,3.6,3.52,-360,-1,361,0,-8,O;P
Trades,Data,Trade,Stocks,USD,CERC,"2018-11-23, 12:52:14",ISLAND,100,3.6,3.52,-360,0,360,0,-8,O;P
Trades,Data,Trade,Stocks,USD,CERC,"2018-11-23, 12:52:19",ISLAND,77,3.6,3.52,-277.2,-0.385,277.585,0,-6.16,O;P
Trades,SubTotal,,Stocks,USD,CERC (Bought),,,277,3.6,,-997.2,-1.385,998.585,0,-22.16,
Trades,Data,Order,Stocks,USD,CRVS,"2018-11-26, 11:51:19",-,158,6.3,6.24,-995.4,-1,996.4,0,-9.48,O;P
Trades,Data,Trade,Stocks,USD,CRVS,"2018-11-26, 11:51:19",ISLAND,1,6.3,6.24,-6.3,-1,7.3,0,-0.06,O;P
Trades,Data,Trade,Stocks,USD,CRVS,"2018-11-26, 11:51:19",ISLAND,157,6.3,6.24,-989.1,0,989.1,0,-9.42,O;P
Trades,SubTotal,,Stocks,USD,CRVS (Bought),,,158,6.3,,-995.4,-1,996.4,0,-9.48,
Trades,Data,Order,Stocks,USD,CUE,"2018-11-05, 09:42:48",-,273,7.3,7.48,-1992.9,-2.0475,1994.9475,0,49.14,O;P
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-05, 09:42:48",AMEX,10,7.3,7.48,-73,-1,74,0,1.8,O;P
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-05, 09:42:59",AMEX,210,7.3,7.48,-1533,-0.65,1533.65,0,37.8,O;P
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-05, 09:42:59",AMEX,53,7.3,7.48,-386.9,-0.3975,387.2975,0,9.54,O;P
Trades,Data,Order,Stocks,USD,CUE,"2018-11-26, 11:30:25",-,167,5.45,5.14,-910.15,-1,911.15,0,-51.77,O;P
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-26, 11:30:25",ISLAND,130,5.45,5.14,-708.5,-1,709.5,0,-40.3,O;P
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-26, 11:30:25",ISLAND,37,5.45,5.14,-201.65,0,201.65,0,-11.47,O;P
Trades,SubTotal,,Stocks,USD,CUE (Bought),,,440,6.597840909,,-2903.05,-3.0475,2906.0975,0,-2.63,
Trades,Data,Order,Stocks,USD,CUE,"2018-11-08, 09:30:00",-,-273,7.76,7.32,2118.48,-1.42502724,-1994.9475,122.107472,120.12,C
Trades,Data,Trade,Stocks,USD,CUE,"2018-11-08, 09:30:00",ISLAND,-273,7.76,7.32,2118.48,-1.42502724,-1994.9475,122.107472,120.12,C
Trades,Data,ClosedLot,Stocks,USD,CUE,2018-11-05,,273,7.3075,,,,1994.9475,122.107472,,ST
Trades,SubTotal,,Stocks,USD,CUE (Sold),,,-273,7.76,,2118.48,-1.42502724,-1994.9475,122.107472,120.12,
Trades,SubTotal,,Stocks,USD,CUE,,,167,,,-784.57,-4.47252724,911.15,122.107472,117.49,
Trades,Data,Order,Stocks,USD,ETTX,"2018-11-26, 10:28:14",-,152,6.55,6.4,-995.6,-1,996.6,0,-22.8,O
Trades,Data,Trade,Stocks,USD,ETTX,"2018-11-26, 10:28:14",ISLAND,152,6.55,6.4,-995.6,-1,996.6,0,-22.8,O
Trades,SubTotal,,Stocks,USD,ETTX (Bought),,,152,6.55,,-995.6,-1,996.6,0,-22.8,
Trades,Data,Order,Stocks,USD,FTNW,"2018-11-05, 09:34:38",-,216,9.25,8.3,-1998,-1.62,1999.62,0,-205.2,O
Trades,Data,Trade,Stocks,USD,FTNW,"2018-11-05, 09:34:38",AMEX,216,9.25,8.3,-1998,-1.62,1999.62,0,-205.2,O
Trades,Data,Order,Stocks,USD,FTNW,"2018-11-20, 13:24:18",-,180,5.55,5.02,-999,-1,1000,439.687379,-95.4,O
Trades,Data,Trade,Stocks,USD,FTNW,"2018-11-20, 13:24:18",DRCTEDGE,180,5.55,5.02,-999,-1,1000,439.687379,-95.4,O
Trades,Data,WashSale,Stocks,USD,FTNW,2018-11-20,,180,,,,,,439.687379,,ST
Trades,SubTotal,,Stocks,USD,FTNW (Bought),,,396,7.568181818,,-2997,-2.62,2999.62,439.687379,-300.6,
Trades,Data,Order,Stocks,USD,FTNW,"2018-11-13, 10:34:29",-,-216,6.82,6.95,1473.12,-1.12485456,-1999.62,-527.624855,-28.08,C
Trades,Data,Trade,Stocks,USD,FTNW,"2018-11-13, 10:34:29",AMEX,-216,6.82,6.95,1473.12,-1.12485456,-1999.62,-527.624855,-28.08,C
Trades,Data,ClosedLot,Stocks,USD,FTNW,2018-11-05,,216,9.2575,,,,1999.62,-527.624855,,ST
Trades,SubTotal,,Stocks,USD,FTNW (Sold),,,-216,6.82,,1473.12,-1.12485456,-1999.62,-527.624855,-28.08,
Trades,SubTotal,,Stocks,USD,FTNW,,,180,,,-1523.88,-3.74485456,1000,-87.937476,-328.68,
Trades,Data,Order,Stocks,USD,ICD,"2018-11-23, 12:56:04",-,312,3.2,3.21,-998.4,-1.56,999.96,0,3.12,O;P
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,100,3.2,3.21,-320,-1,321,0,1,O;P
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,37,3.2,3.21,-118.4,0,118.4,0,0.37,O;P
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,88,3.2,3.21,-281.6,-0.125,281.725,0,0.88,O;P
Trades,Data,Trade,Stocks,USD,ICD,"2018-11-23, 12:56:04",NYSE,87,3.2,3.21,-278.4,-0.435,278.835,0,0.87,O;P
Trades,SubTotal,,Stocks,USD,ICD (Bought),,,312,3.2,,-998.4,-1.56,999.96,0,3.12,
Trades,Data,Order,Stocks,USD,IMH,"2018-11-26, 12:13:22",-,235,4.25,4.2,-998.75,-1.175,999.925,0,-11.75,O;P
Trades,Data,Trade,Stocks,USD,IMH,"2018-11-26, 12:13:22",DRCTEDGE,171,4.25,4.2,-726.75,-1,727.75,0,-8.55,O;P
Trades,Data,Trade,Stocks,USD,IMH,"2018-11-26, 12:13:22",DRCTEDGE,64,4.25,4.2,-272,-0.175,272.175,0,-3.2,O;P
Trades,SubTotal,,Stocks,USD,IMH (Bought),,,235,4.25,,-998.75,-1.175,999.925,0,-11.75,
Trades,Data,Order,Stocks,USD,KEG,"2018-11-26, 11:59:59",-,57,6.8,7.06,-387.6,-1,388.6,0,14.82,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 11:59:59",NYSE,10,6.8,7.06,-68,-1,69,0,2.6,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:00:25",NYSE,3,6.8,7.06,-20.4,0,20.4,0,0.78,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:00:40",NYSE,2,6.8,7.06,-13.6,0,13.6,0,0.52,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:00:59",NYSE,10,6.8,7.06,-68,0,68,0,2.6,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:01:53",NYSE,7,6.8,7.06,-47.6,0,47.6,0,1.82,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:02:56",NYSE,5,6.8,7.06,-34,0,34,0,1.3,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:03:11",NYSE,15,6.8,7.06,-102,0,102,0,3.9,O;P
Trades,Data,Trade,Stocks,USD,KEG,"2018-11-26, 12:04:48",NYSE,5,6.8,7.06,-34,0,34,0,1.3,O;P
Trades,SubTotal,,Stocks,USD,KEG (Bought),,,57,6.8,,-387.6,-1,388.6,0,14.82,
Trades,Data,Order,Stocks,USD,KNSA,"2018-11-13, 11:07:53",-,110,18.05,16.25,-1985.5,-1,1986.5,0,-198,O;P
Trades,Data,Trade,Stocks,USD,KNSA,"2018-11-13, 11:07:53",ISLAND,100,18.05,16.25,-1805,-1,1806,0,-180,O;P
Trades,Data,Trade,Stocks,USD,KNSA,"2018-11-13, 11:08:04",ISLAND,10,18.05,16.25,-180.5,0,180.5,0,-18,O;P
Trades,SubTotal,,Stocks,USD,KNSA (Bought),,,110,18.05,,-1985.5,-1,1986.5,0,-198,
Trades,Data,Order,Stocks,USD,KNSA,"2018-11-21, 12:03:25",-,-110,18.25,20.29,2007.5,-1.0391875,-1986.5,19.960812,-224.4,C
Trades,Data,Trade,Stocks,USD,KNSA,"2018-11-21, 12:03:25",ISLAND,-110,18.25,20.29,2007.5,-1.0391875,-1986.5,19.960812,-224.4,C
Trades,Data,ClosedLot,Stocks,USD,KNSA,2018-11-13,,110,18.059090909,,,,1986.5,19.960812,,ST
Trades,SubTotal,,Stocks,USD,KNSA (Sold),,,-110,18.25,,2007.5,-1.0391875,-1986.5,19.960812,-224.4,
Trades,SubTotal,,Stocks,USD,KNSA,,,0,,,22,-2.0391875,0,19.960812,-422.4,
Trades,Data,Order,Stocks,USD,LAZY,"2018-11-13, 11:04:11",-,200,5.45,5.5,-1090,-1,1091,0,10,O
Trades,Data,Trade,Stocks,USD,LAZY,"2018-11-13, 11:04:11",ISLAND,200,5.45,5.5,-1090,-1,1091,0,10,O
Trades,SubTotal,,Stocks,USD,LAZY (Bought),,,200,5.45,,-1090,-1,1091,0,10,
Trades,Data,Order,Stocks,USD,LAZY,"2018-11-26, 09:30:01",-,-200,4.89,5.13,978,-1.036514,-1091,-114.036514,-48,C
Trades,Data,Trade,Stocks,USD,LAZY,"2018-11-26, 09:30:01",ISLAND,-200,4.89,5.13,978,-1.036514,-1091,-114.036514,-48,C
Trades,Data,ClosedLot,Stocks,USD,LAZY,2018-11-13,,200,5.455,,,,1091,-114.036514,,ST
Trades,SubTotal,,Stocks,USD,LAZY (Sold),,,-200,4.89,,978,-1.036514,-1091,-114.036514,-48,
Trades,SubTotal,,Stocks,USD,LAZY,,,0,,,-112,-2.036514,0,-114.036514,-38,
Trades,Data,Order,Stocks,USD,LEVB,"2018-11-19, 13:18:28",-,263,3.7954,3.72,-998.1902,-1.315,999.5052,0,-19.8302,O
Trades,Data,Trade,Stocks,USD,LEVB,"2018-11-19, 13:18:28",IBKRATS,263,3.7954,3.72,-998.1902,-1.315,999.5052,0,-19.8302,O
